sample_id	stage	relative_path	file_name	bytes	sha256	status
ERR1725947	DIAMOND_CARD	DIAMOND_CARD/ERR1725947/ERR1725947_diamond_card_merged.tsv.gz	ERR1725947_diamond_card_merged.tsv.gz	1301092	58cb8d97ab53234f5e1a27198f89511a58d2f5a175abe4c4fdf42961f8df97e0	PASS
ERR1725962	DIAMOND_CARD	DIAMOND_CARD/ERR1725962/ERR1725962_diamond_card_merged.tsv.gz	ERR1725962_diamond_card_merged.tsv.gz	365220	4aeb95c36bf62639ff995908aadad1868693784db48a732dafb73c7f865c5ddd	PASS
ERR1713331	Assembly	Assembly/ERR1713331/ERR1713331_assembly_metrics.tsv	ERR1713331_assembly_metrics.tsv	529	8adb328e451816adbfcd99d2d4632267d66bb4e54151e132302716a6e6bb42ed	PASS
ERR1713332	Assembly	Assembly/ERR1713332/ERR1713332_assembly_metrics.tsv	ERR1713332_assembly_metrics.tsv	528	154b3217bcca3d4dec18e3618e04befee3f8696a457769436721cb6efe819694	PASS
ERR1713334	Assembly	Assembly/ERR1713334/ERR1713334_assembly_metrics.tsv	ERR1713334_assembly_metrics.tsv	525	fa1cbb5b02227804d7e27c9921a4fe03556c3ff84ed5cf4bfb4065e850ac0a0e	PASS
ERR1713337	Assembly	Assembly/ERR1713337/ERR1713337_assembly_metrics.tsv	ERR1713337_assembly_metrics.tsv	531	aad0fb36063a8f6b01abd508aba9c53429fa34d732d03b5901b626e1e254a9fd	PASS
ERR1713339	Assembly	Assembly/ERR1713339/ERR1713339_assembly_metrics.tsv	ERR1713339_assembly_metrics.tsv	518	4143de038145ec0c9c40c3c1f8fb124f5c8a9b47f84640ca4e81af119ab97a17	PASS
ERR1713344	Assembly	Assembly/ERR1713344/ERR1713344_assembly_metrics.tsv	ERR1713344_assembly_metrics.tsv	530	aec23bbc72cc1648a9695ca025141243aa37afe9e5ce48b3f18ddfc4f8dbbf3d	PASS
ERR1725947	Assembly	Assembly/ERR1725947/ERR1725947_assembly_metrics.tsv	ERR1725947_assembly_metrics.tsv	527	257c15718eb1f127482bb3b0dc0aa0a37fa2c0b0c474d6b3353db497d4fd37a6	PASS
ERR1725962	Assembly	Assembly/ERR1725962/ERR1725962_assembly_metrics.tsv	ERR1725962_assembly_metrics.tsv	522	77857eed18e035b96a2919b05ae3569a45e1ee73247867e70b0b35c13a9485aa	PASS
ERR1713331	geNomAD	geNomAD/ERR1713331/ERR1713331.contigs_plasmid_summary.tsv	ERR1713331.contigs_plasmid_summary.tsv	238843	46696b17ba90b903d2ffac1ee590cbf5f19c7dbbffb493c90ab74618ed09bf5d	PASS
ERR1713331	geNomAD	geNomAD/ERR1713331/ERR1713331.contigs_virus_summary.tsv	ERR1713331.contigs_virus_summary.tsv	783965	e33f84816433fc03ed8d882fdf3320396e010ce952515e593f77941b3b9873ed	PASS
ERR1713332	geNomAD	geNomAD/ERR1713332/ERR1713332.contigs_plasmid_summary.tsv	ERR1713332.contigs_plasmid_summary.tsv	84014	923da4b79802bbc8d5aecffcf9ee9514b04d7243784bafc4f875f029d9539c49	PASS
ERR1713332	geNomAD	geNomAD/ERR1713332/ERR1713332.contigs_virus_summary.tsv	ERR1713332.contigs_virus_summary.tsv	132913	c9eba1171cd8dbafb3b082e7d4a353391e3bef3540def756b3a728a4dc696767	PASS
ERR1713334	geNomAD	geNomAD/ERR1713334/ERR1713334.contigs_plasmid_summary.tsv	ERR1713334.contigs_plasmid_summary.tsv	136009	5fe3fc41f3bae99853bf1ca5f5eda9b03cce1bc2343ccee326058a04df41de14	PASS
ERR1713334	geNomAD	geNomAD/ERR1713334/ERR1713334.contigs_virus_summary.tsv	ERR1713334.contigs_virus_summary.tsv	495258	b0cd4f43652dd9cfdd03f34ddfd39f8dd2890c6f0f21cc1fedc6299156ebfea0	PASS
ERR1713337	geNomAD	geNomAD/ERR1713337/ERR1713337.contigs_plasmid_summary.tsv	ERR1713337.contigs_plasmid_summary.tsv	54208	e3b89e4a03ec6429d5e95c338e61682d7622c30a2c60f670a3a09c129a81b0fa	PASS
ERR1713337	geNomAD	geNomAD/ERR1713337/ERR1713337.contigs_virus_summary.tsv	ERR1713337.contigs_virus_summary.tsv	645547	e129de89c08d20da1062459c97e6ff577d34919ad69959712b743a3e758ba66c	PASS
ERR1713339	geNomAD	geNomAD/ERR1713339/ERR1713339.contigs_plasmid_summary.tsv	ERR1713339.contigs_plasmid_summary.tsv	10899	a9c965a6be84bc111a5c5cad0a13d17cb62064fc22291797d33fa28509fb20a5	PASS
ERR1713339	geNomAD	geNomAD/ERR1713339/ERR1713339.contigs_virus_summary.tsv	ERR1713339.contigs_virus_summary.tsv	31377	7d577d57d07df6a1d7162b64d76673d047971640e47071a74fd19395f336fd36	PASS
