sample_id	aro_gene	hit_rows
E_1-2	vgaC	15035
E_1-2	VIM-17	5
E_1-2	vgaD	17904
E_1-2	VIM-18	5
E_1-2	VIM-59	15
E_1-2	vgaE	20924
E_1-2	VIM-19	10
E_1-2	NDM-1	1
E_1-2	AAC(3)-IXa	42
E_1-2	NDM-2	1
E_1-2	APH(3'')-Ia	94
E_1-2	NDM-3	1
E_1-2	APH(3'')-Ib	707
E_1-2	GES-40	52
E_1-2	NDM-4	1
E_1-2	GES-41	45
E_1-2	APH(3'')-Ic	136
E_1-2	NDM-5	1
E_1-2	NDM-6	1
E_1-2	GES-43	4
E_1-2	CMY-80	15
E_1-2	AAC(3)-VIIIa	57
E_1-2	NDM-7	1
E_1-2	OXA-880	1
E_1-2	GES-44	10
E_1-2	CMY-40	20
E_1-2	CMY-81	46
E_1-2	NDM-8	1
E_1-2	GES-45	6
E_1-2	CMY-41	19
E_1-2	OXA-840	2
E_1-2	CMY-82	18
E_1-2	NDM-9	1
E_1-2	OXA-841	1
E_1-2	OXA-800	1
E_1-2	GES-46	29
E_1-2	CMY-42	87
E_1-2	CMY-83	25
E_1-2	AAC(2')-Ia	1
E_1-2	OXA-801	3
E_1-2	CMY-84	12
E_1-2	lnuA	18
E_1-2	OXA-842	5
E_1-2	TEM-210	5
E_1-2	CMY-43	41
E_1-2	OXA-883	1
E_1-2	FosC2	124
E_1-2	GES-47	60
E_1-2	TEM-251	95
E_1-2	CMY-85	20
E_1-2	AAC(2')-Ib	31
E_1-2	CMY-44	83
E_1-2	lnuB	160
E_1-2	OXA-802	23
E_1-2	GES-48	48
E_1-2	LUT-1	164
E_1-2	TEM-211	74
E_1-2	CMY-45	1
E_1-2	OXA-844	1
E_1-2	OXA-1040	1
E_1-2	OXA-1081	12
E_1-2	OXA-803	6
E_1-2	BCL-1	36
E_1-2	CMY-86	11
E_1-2	AAC(2')-Ic	27
E_1-2	GES-49	40
E_1-2	LUT-2	152
E_1-2	lnuC	72
E_1-2	OXA-570	109
E_1-2	OXA-845	6
E_1-2	CMY-87	17
E_1-2	OXA-804	16
E_1-2	OXA-1000	15
E_1-2	TEM-254	27
E_1-2	AAC(2')-Id	25
E_1-2	CMY-46	9
E_1-2	OXA-571	132
E_1-2	OXA-1082	247
E_1-2	OXA-1041	221
E_1-2	LUT-3	166
E_1-2	lnuD	101
E_1-2	OXA-805	2
E_1-2	lnuE	19
E_1-2	OXA-887	5
E_1-2	OXA-572	120
E_1-2	OXA-1001	33
E_1-2	CMY-47	59
E_1-2	AAC(2')-Ie	24
E_1-2	OXA-1083	347
E_1-2	vanR_in_vanB_cl	6542
E_1-2	OXA-1042	545
E_1-2	LUT-4	161
E_1-2	OXA-846	89
E_1-2	OXA-806	1
E_1-2	OXA-1002	2
E_1-2	CMY-48	56
E_1-2	OXA-1043	45
E_1-2	OXA-888	4
E_1-2	TEM-215	61
E_1-2	CMY-89	52
E_1-2	lnuF	87
E_1-2	vanH_in_vanD_cl	5307
E_1-2	OXA-1084	271
E_1-2	LUT-5	161
E_1-2	OXA-847	83
E_1-2	OXA-573	106
E_1-2	OXA-1003	5
E_1-2	OXA-533	10
E_1-2	CMY-49	8
E_1-2	OXA-1044	76
E_1-2	DHA-20	127
E_1-2	lnuG	154
E_1-2	ACT-1	35
E_1-2	OXA-1085	545
E_1-2	LUT-6	137
E_1-2	OXA-848	70
E_1-2	OXA-574	115
E_1-2	OXA-807	61
E_1-2	PDC-490	1
E_1-2	OXA-575	6
E_1-2	OXA-1004	1
E_1-2	ACT-2	24
E_1-2	TEM-258	5
E_1-2	OXA-1045	9
E_1-2	DHA-21	141
E_1-2	CfiA30	73
E_1-2	OXA-534	545
E_1-2	OXA-1086	222
E_1-2	OXA-849	36
E_1-2	OXA-808	61
E_1-2	PDC-450	2
E_1-2	OXA-1005	29
E_1-2	ACT-3	20
E_1-2	DHA-22	136
E_1-2	OXA-261	13
E_1-2	OXA-576	58
E_1-2	OXA-809	21
E_1-2	OXA-1087	268
E_1-2	CfiA31	72
E_1-2	OXA-535	194
E_1-2	OXA-1046	444
E_1-2	OXA-1047	1
E_1-2	OXA-577	39
E_1-2	OXA-1006	4
E_1-2	ACT-4	28
E_1-2	VIM-1	11
E_1-2	OXA-262	12
E_1-2	PDC-410	4
E_1-2	VAM-1	24
E_1-2	DHA-23	102
E_1-2	OXA-1088	313
E_1-2	OXA-263	1
E_1-2	VIM-2	3
E_1-2	PDC-493	4
E_1-2	OXA-537	12
E_1-2	OXA-1007	3
E_1-2	OXA-578	38
E_1-2	ACT-5	32
E_1-2	AAC(6')-29a	7
E_1-2	OXA-1048	7
E_1-2	DHA-24	98
E_1-2	OXA-1089	749
E_1-2	OXA-264	6
E_1-2	OXA-223	4
E_1-2	PDC-453	1
E_1-2	OXA-579	27
E_1-2	ACT-6	11
E_1-2	AAC(6')-29b	6
E_1-2	DHA-25	96
E_1-2	OXA-538	133
E_1-2	OXA-1049	394
E_1-2	OXA-265	6
E_1-2	VIM-4	8
E_1-2	PDC-180	5
E_1-2	ACT-7	41
E_1-2	PDC-495	14
E_1-2	OXA-539	109
E_1-2	DHA-26	94
E_1-2	OXA-224	560
E_1-2	RSD2-1	219
E_1-2	PDC-181	11
E_1-2	PDC-414	6
E_1-2	VIM-5	4
E_1-2	OXA-266	5
E_1-2	ACT-8	18
E_1-2	OXA-225	46
E_1-2	DHA-27	135
E_1-2	PDC-455	44
E_1-2	PDC-140	68
E_1-2	RSD2-2	216
E_1-2	VIM-6	2
E_1-2	OXA-267	1
E_1-2	ACT-70	4
E_1-2	PDC-100	1
E_1-2	PDC-141	85
E_1-2	DHA-28	94
E_1-2	OXA-226	565
E_1-2	PDC-498	1
E_1-2	PDC-183	3
E_1-2	KPC-51	7
E_1-2	KPC-92	6
E_1-2	KPC-10	21
E_1-2	VIM-7	19
E_1-2	PDC-416	4
E_1-2	ACT-30	86
E_1-2	DHA-29	76
E_1-2	PDC-417	1
E_1-2	KPC-52	1
E_1-2	ACT-72	12
E_1-2	VIM-8	3
E_1-2	KPC-11	16
E_1-2	OXA-269	7
E_1-2	ACT-31	86
E_1-2	PDC-184	6
E_1-2	OXA-228	40
E_1-2	KPC-94	1
E_1-2	ACT-73	3
E_1-2	PDC-103	1
E_1-2	ACT-32	48
E_1-2	PDC-418	52
E_1-2	PDC-144	16
E_1-2	OXA-229	50
E_1-2	MOX-10	180
E_1-2	arlR	31009
E_1-2	KPC-13	7
E_1-2	KPC-54	1
E_1-2	ACT-74	6
E_1-2	mfpA	17
E_1-2	ACT-33	38
E_1-2	PDC-104	7
E_1-2	PDC-186	4
E_1-2	MOX-11	180
E_1-2	arlS	4614
E_1-2	efpA	803
E_1-2	KPC-96	4
E_1-2	ACT-34	19
E_1-2	ACT-75	20
E_1-2	KPC-14	42
E_1-2	MOX-12	104
E_1-2	PDC-188	2
E_1-2	KPC-15	14
E_1-2	ACT-76	10
E_1-2	ACT-35	81
E_1-2	vanY_in_vanM_cl	331
E_1-2	MOX-13	90
E_1-2	PDC-189	2
E_1-2	ACT-77	18
E_1-2	ACT-36	56
E_1-2	PDC-148	18
E_1-2	KPC-16	31
E_1-2	MOX-14	200
E_1-2	PDC-149	2
E_1-2	PDC-108	2
E_1-2	ACT-78	9
E_1-2	ACT-37	60
E_1-2	BlaB-1	21
